name,lat,lon,z,pm10,pm2.5,N,E
Samdug,37.398356,126.917103,35.875,16.67,24.37,1933409.1599,948407.6979
Samdug,37.398356,126.917103,50.875,17.17,25.37,1933409.1599,948407.6979
Samdug,37.398356,126.917103,65.875,19.42,25.53,1933409.1599,948407.6979
Samdug,37.398356,126.917103,80.875,16.58,26.5,1933409.1599,948407.6979
GyoHwa,37.393231,126.928626,39.242,17.83,27.17,1932834.3416,949424.1658
GyoHwa,37.393231,126.928626,54.242,19.17,30.08,1932834.3416,949424.1658
GyoHwa,37.393231,126.928626,69.242,21.33,30.67,1932834.3416,949424.1658
GyoHwa,37.393231,126.928626,84.242,21.42,30.5,1932834.3416,949424.1658
ayu,37.392197,126.919653,92.026,21.33,32.75,1932724.4754,948629.1975
ayu,37.392197,126.919653,107.026,20.75,31.75,1932724.4754,948629.1975
ayu,37.392197,126.919653,122.026,22.83,36.08,1932724.4754,948629.1975
ayu,37.392197,126.919653,137.026,22.67,34.42,1932724.4754,948629.1975
twoDong,37.405,126.91783,30,9.7,29.52,1934145.8632,948476.5947
twoDong,37.405,126.91783,45,10,31,1934145.8632,948476.5947
twoDong,37.405,126.91783,60,11.16,32.13,1934145.8632,948476.5947
twoDong,37.405,126.91783,75,9.25,30.54,1934145.8632,948476.5947
sixDong,37.39001,126.93059,39.35,9.25,35.72,1932475.9462,949595.8564
sixDong,37.39001,126.93059,54.35,10,40,1932475.9462,949595.8564
sixDong,37.39001,126.93059,69.35,11.01,40.77,1932475.9462,949595.8564
sixDong,37.39001,126.93059,84.35,11.06,40.54,1932475.9462,949595.8564
